latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-22.76839,35.46823,353.75,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,294.77,13.72,D,0
-23.37349,35.44588,337.21,0.51,0.5,2026-01-01,1153,SNPP,SNPP,n,2,297.97,6.64,D,0
-22.77051,35.38757,337,0.52,0.5,2026-01-01,1153,SNPP,SNPP,n,2,295.7,3.17,D,0
-22.79185,35.49566,336.9,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,295.15,4.1,D,0
-22.68342,35.44548,340.99,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,296.26,14.4,D,0
-22.68449,35.44024,337.86,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,293.81,14.4,D,0
-22.6788,35.44438,340.92,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,294.64,8.49,D,0
-22.67987,35.43917,337.69,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,293.96,8.49,D,0
-22.60778,35.23709,341.58,0.52,0.5,2026-01-01,1153,SNPP,SNPP,n,2,296.59,4.49,D,0
-22.45942,35.43008,330.65,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,297.91,2.28,D,0
-22.30094,35.30675,346.49,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,302.97,63.04,D,0
-22.21777,35.21795,341.87,0.52,0.5,2026-01-01,1153,SNPP,SNPP,n,2,296.03,19.54,D,0
-22.21883,35.21287,336.07,0.52,0.5,2026-01-01,1153,SNPP,SNPP,n,2,296.21,19.54,D,0
-22.23144,35.15213,339.76,0.52,0.5,2026-01-01,1153,SNPP,SNPP,n,2,294.93,3.79,D,0
-23.37366,35.44923,334.41,0.51,0.5,2026-01-01,1153,SNPP,SNPP,n,2,297.75,4.51,D,0
-22.22057,35.2149,353.38,0.52,0.5,2026-01-01,1153,SNPP,SNPP,n,2,298.49,32.81,D,0
-22.22919,35.14785,343.39,0.52,0.5,2026-01-01,1153,SNPP,SNPP,n,2,293.81,8.43,D,0
-22.19816,35.13542,342.63,0.52,0.5,2026-01-01,1153,SNPP,SNPP,n,2,296.97,16.06,D,0
-22.15096,35.22554,332.33,0.52,0.5,2026-01-01,1153,SNPP,SNPP,n,2,297.99,3.99,D,0
-22.13714,35.22231,340.96,0.52,0.5,2026-01-01,1153,SNPP,SNPP,n,2,297.77,3.72,D,0
-22.95724,35.35178,331.34,0.52,0.5,2026-01-01,1153,SNPP,SNPP,n,2,297.21,1.18,D,0
-23.16122,35.28238,341.86,0.51,0.49,2026-01-01,1153,SNPP,SNPP,n,2,295.14,1.95,D,0
-22.89072,35.42474,334.57,0.52,0.5,2026-01-01,1153,SNPP,SNPP,n,2,296.87,3.67,D,0
-22.10833,35.25551,336.49,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,291.33,6.69,D,0
-22.10936,35.25037,332.36,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,287.9,3.01,D,0
-21.7831,35.21331,330.69,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,286.74,12.29,D,0
-21.78417,35.20813,346.75,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,289.94,12.29,D,0
-21.78679,35.21051,347.92,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,290.63,10.09,D,0
-21.78215,35.20945,336.58,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,286.84,10.09,D,0
-21.77751,35.20839,338.08,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,288.6,10.84,D,0
-21.50878,35.10294,339.04,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,297.37,5.31,D,0
-21.40009,35.12519,333.68,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,298.73,5.57,D,0
-22.98844,35.31671,337.53,0.51,0.5,2026-01-01,1153,SNPP,SNPP,n,2,296.58,4.66,D,0
-22.77088,35.47972,341.78,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,295.42,5.86,D,0
-22.77302,35.46931,354,0.53,0.5,2026-01-01,1153,SNPP,SNPP,n,2,295.26,13.72,D,0
-19.34561,34.92862,334.73,0.57,0.52,2026-01-01,1154,SNPP,SNPP,n,2,297.39,7.45,D,0
-20.47581,32.79664,335.44,0.4,0.44,2026-01-01,1154,SNPP,SNPP,n,2,298.9,4.28,D,0
-20.05249,34.38176,338.67,0.51,0.49,2026-01-01,1154,SNPP,SNPP,n,2,299.39,9.41,D,0
-19.57844,35.14757,330.05,0.58,0.52,2026-01-01,1154,SNPP,SNPP,n,2,299.13,2.8,D,0
-19.57363,35.14648,331.18,0.58,0.52,2026-01-01,1154,SNPP,SNPP,n,2,298.62,2.8,D,0
-19.68799,34.24362,340.98,0.51,0.49,2026-01-01,1154,SNPP,SNPP,n,2,300.83,6.65,D,0
-19.36536,35.38044,331.62,0.61,0.53,2026-01-01,1154,SNPP,SNPP,n,2,295.59,5.56,D,0
-19.34702,34.92611,340.23,0.57,0.52,2026-01-01,1154,SNPP,SNPP,n,2,299.03,7.12,D,0
-19.06983,35.53865,341.71,0.63,0.54,2026-01-01,1154,SNPP,SNPP,n,2,299.62,12.85,D,0
-19.32045,33.61213,330.63,0.47,0.48,2026-01-01,1154,SNPP,SNPP,n,2,299.12,2.31,D,0
-18.97511,35.29303,340.47,0.61,0.53,2026-01-01,1154,SNPP,SNPP,n,2,300.96,16.4,D,0
-18.81436,35.37175,343.67,0.62,0.54,2026-01-01,1154,SNPP,SNPP,n,2,300.94,37.8,D,0
-18.81559,35.36583,343.32,0.62,0.54,2026-01-01,1154,SNPP,SNPP,n,2,302.61,37.8,D,0
