DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2026/01/01 11:51:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,6.6,-23.37353,35.44589
2026/01/01 11:51:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,4.5,-23.37355,35.44899
2026/01/01 11:53:00,NPP-375D,Mozambique,Manica,Mossurize,,,,,4.3,-20.47584,32.79666
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,2.3,-22.45944,35.43014
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,8.4,-22.22914,35.14776
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Cheringoma,,,,,37.8,-18.81439,35.37167
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,63.0,-22.30091,35.30657
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,10.1,-21.78217,35.20941
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,10.1,-21.78681,35.21048
2026/01/01 11:53:00,NPP-375D,Mozambique,Manica,Barue,,,,,1.7,-17.93235,33.33772
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,1.2,-22.9572,35.35136
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Dondo,,,,,2.8,-19.57372,35.14663
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,4.0,-22.15091,35.22544
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Cheringoma,,,,,37.8,-18.81562,35.36575
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,19.5,-22.2188,35.2127
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,3.7,-22.1371,35.22221
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,8.5,-22.67992,35.43922
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,4.7,-22.9884,35.3163
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,13.7,-22.77302,35.46915
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,3.2,-22.77051,35.38742
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Cheringoma,,,,,74.6,-18.81513,35.36943
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,8.5,-22.67885,35.44444
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,14.4,-22.68454,35.4403
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,14.4,-22.68347,35.44553
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Dondo,,,,,2.8,-19.57854,35.14772
2026/01/01 11:53:00,NPP-375D,Mozambique,Manica,Gondola,,,,,2.3,-19.32038,33.61219
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Muanza,,,,,7.5,-19.34556,34.92851
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,5.3,-21.50876,35.10275
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Cheringoma,,,,,16.2,-18.81632,35.3635
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,12.3,-21.78416,35.20798
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,5.0,-22.88536,35.52092
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,3.8,-22.23141,35.15197
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Muanza,,,,,16.4,-18.97503,35.29311
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Muanza,,,,,5.6,-19.36532,35.38034
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,19.5,-22.21774,35.21778
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Cheringoma,,,,,22.0,-18.79513,35.34014
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,5.6,-21.40003,35.12514
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,12.3,-21.78308,35.21316
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Cheringoma,,,,,6.1,-18.75298,35.31836
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Buzi,,,,,9.4,-20.0526,34.38169
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Buzi,,,,,6.7,-19.688,34.24381
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Cheringoma,,,,,3.4,-18.75793,35.31945
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,10.8,-21.77753,35.20835
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,16.1,-22.19811,35.13533
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Muanza,,,,,12.9,-19.06984,35.53837
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,3.7,-22.89062,35.42453
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,4.5,-22.60778,35.23735
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Cheringoma,,,,,7.1,-18.80776,35.38031
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,4.1,-22.79185,35.4955
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,3.0,-22.10938,35.25033
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Cheringoma,,,,,5.2,-18.80279,35.37923
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Muanza,,,,,7.1,-19.347,34.92598
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,32.8,-22.22052,35.2148
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Cheringoma,,,,,24.2,-18.79017,35.33909
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,6.7,-22.10835,35.25547
2026/01/01 11:53:00,NPP-375D,Mozambique,Sofala,Cheringoma,,,,,24.2,-18.78897,35.34499
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,2.0,-23.16115,35.28203
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,13.7,-22.7684,35.46807
2026/01/01 11:53:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,5.9,-22.77088,35.47957
2026/01/01 23:05:00,NPP-375,Mozambique,Tete,Moatize,,,,,1.0,-16.12197,33.76101
2026/01/01 23:05:00,NPP-375,Mozambique,Tete,Moatize,,,,,0.7,-16.19504,33.84108
2026/01/01 23:05:00,NPP-375,Mozambique,Tete,Moatize,,,,,0.7,-16.19561,33.84468
2026/01/01 23:05:00,NPP-375,Mozambique,Tete,Moatize,,,,,0.8,-16.11864,33.76158
2026/01/01 23:05:00,NPP-375,Mozambique,Tete,Moatize,,,,,0.7,-16.19837,33.84052
2026/01/01 23:05:00,NPP-375,Mozambique,Tete,Moatize,,,,,0.9,-16.2017,33.83996
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,4.1,-21.39935,35.12265
2026/01/02 11:34:00,NPP-375D,Mozambique,Sofala,Machanga,,,,,7.6,-20.90452,34.32787
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,2.6,-21.88103,35.26114
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,2.2,-23.29939,35.27919
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,16.1,-22.63165,35.48338
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Mabote,,,,,4.7,-21.95712,34.27762
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,3.0,-22.67357,35.23897
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,1.7,-22.84746,35.31949
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,3.7,-22.65152,35.49635
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,6.1,-21.79313,35.24892
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,2.9,-21.6831,35.17118
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,2.7,-22.64679,35.45956
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,1.9,-21.49633,35.14527
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Govuro,,,,,3.9,-21.45309,34.9354
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,29.1,-22.34674,35.26949
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,2.4,-21.92581,35.27891
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,27.6,-22.9523,35.21273
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,15.0,-21.42781,35.12816
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,1.0,-21.81019,35.25672
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,3.3,-21.80468,35.22449
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,5.1,-22.36598,35.24245
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,34.5,-21.40164,35.08773
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,17.6,-23.03253,35.39888
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,3.2,-23.08368,35.2076
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,12.0,-21.69409,35.23553
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,6.1,-21.79239,35.25323
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,2.2,-23.06822,35.21321
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,4.5,-22.78094,35.45797
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,4.5,-21.50198,35.15523
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,30.4,-22.59248,35.47559
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,3.4,-22.7845,35.45867
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,7.2,-21.4265,35.09258
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,5.2,-21.47487,35.03532
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,4.7,-23.10255,35.39514
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Vilanculos,,,,,3.8,-21.9009,35.27396
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,6.1,-21.46277,35.0418
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,4.6,-21.61092,35.15343
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,3.4,-21.47203,35.15828
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inharrime,,,,,31.6,-24.48517,35.1571
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,6.0,-21.50773,35.14307
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Massinga,,,,,1.9,-23.08718,35.20829
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,2.3,-21.62522,35.13418
2026/01/02 11:34:00,NPP-375D,Mozambique,Inhambane,Inhassoro,,,,,4.2,-21.71746,35.12056
