region,year,month,n_fires,mean_frp,sum_frp
Buffer,2017,January,0,NA,0
Buffer,2017,February,2,1.58,3.16
Buffer,2017,March,2,2.87,5.74
Buffer,2017,April,5,4.3,21.499999999999996
Buffer,2017,May,15,4.26,63.9
Buffer,2017,June,100,7.2475,724.7500000000001
Buffer,2017,July,608,10.192121710526315,6196.810000000004
Buffer,2017,August,2445,8.939456032719837,21856.969999999965
Buffer,2017,September,2585,8.856019342359769,22892.809999999943
Buffer,2017,October,3275,8.579456488549619,28097.719999999947
Buffer,2017,November,290,7.1434482758620685,2071.6000000000004
Buffer,2017,December,92,4.733586956521739,435.48999999999995
Buffer,2018,January,4,3.73,14.92
Buffer,2018,February,3,3.993333333333333,11.98
Buffer,2018,March,5,6.119999999999999,30.6
Buffer,2018,April,9,3.3155555555555556,29.84
Buffer,2018,May,13,3.0992307692307692,40.29
Buffer,2018,June,157,5.380254777070064,844.6999999999998
Buffer,2018,July,219,5.938767123287671,1300.59
Buffer,2018,August,2541,10.07667847304211,25604.84000000004
Buffer,2018,September,4522,9.065258735072977,40993.100000000035
Buffer,2018,October,1539,8.485308641975308,13058.89000000003
Buffer,2018,November,575,7.94344347826087,4567.4800000000005
Buffer,2018,December,50,4.7172,235.85999999999999
Buffer,2019,January,1,2.15,2.15
Buffer,2019,February,29,3.7051724137931035,107.45
Buffer,2019,March,10,4.937,49.370000000000005
Buffer,2019,April,3,2.31,6.93
Buffer,2019,May,22,3.908181818181818,85.98
Buffer,2019,June,47,5.172765957446808,243.12
Buffer,2019,July,749,8.779959946595461,6576.189999999992
Buffer,2019,August,2726,8.997780630961113,24527.950000000066
Buffer,2019,September,4460,9.388482062780273,41872.629999999976
Buffer,2019,October,2810,8.010523131672597,22509.569999999934
Buffer,2019,November,490,7.03238775510204,3445.869999999997
Buffer,2019,December,48,6.887291666666667,330.59000000000003
Buffer,2020,January,10,4.115,41.15
Buffer,2020,February,17,3.5958823529411763,61.129999999999995
Buffer,2020,March,16,6.690625,107.05
Buffer,2020,April,3,4.96,14.879999999999999
Buffer,2020,May,91,7.109010989010988,646.9200000000003
Buffer,2020,June,149,7.736912751677853,1152.8000000000002
Buffer,2020,July,650,8.026338461538462,5217.12
Buffer,2020,August,2781,9.51467817331895,26460.320000000014
Buffer,2020,September,3316,10.006335946924004,33181.01000000002
Buffer,2020,October,2584,8.337271671826624,21543.509999999977
Buffer,2020,November,631,9.70581616481775,6124.370000000001
Buffer,2020,December,2,2.7199999999999998,5.4399999999999995
Buffer,2021,January,7,5.594285714285714,39.16
Buffer,2021,February,8,4.52,36.160000000000004
Buffer,2021,March,17,4.0064705882352944,68.11
Buffer,2021,April,9,4.163333333333333,37.47
Buffer,2021,May,32,7.384375,236.29999999999998
Buffer,2021,June,30,3.772333333333333,113.16999999999999
Buffer,2021,July,63,6.356507936507937,400.4600000000001
Buffer,2021,August,995,10.62594974874372,10572.819999999998
Buffer,2021,September,4025,9.046091925465836,36410.51999999993
Buffer,2021,October,3972,8.716465256797584,34621.8
Buffer,2021,November,1439,8.374614315496872,12051.07000000001
Buffer,2021,December,296,10.083209459459459,2984.6300000000037
Buffer,2022,January,4,4.8500000000000005,19.400000000000002
Buffer,2022,February,6,3.4766666666666666,20.860000000000003
Buffer,2022,March,7,3.262857142857143,22.840000000000003
Buffer,2022,April,5,3.7159999999999997,18.58
Buffer,2022,May,15,2.8066666666666666,42.099999999999994
Buffer,2022,June,3,5.08,15.239999999999998
Buffer,2022,July,17,8.956470588235295,152.26000000000005
Buffer,2022,August,703,8.91873399715505,6269.869999999985
Buffer,2022,September,3905,9.681774647887325,37807.329999999965
Buffer,2022,October,3798,9.572767245918905,36357.369999999915
Buffer,2022,November,400,6.900225000000001,2760.0899999999997
Buffer,2022,December,66,6.048636363636364,399.21000000000004
Buffer,2023,January,25,3.2172,80.43000000000002
Buffer,2023,February,28,4.05,113.40000000000002
Buffer,2023,March,6,4.38,26.28
Buffer,2023,April,12,4.28,51.36
Buffer,2023,May,25,3.8556,96.39
Buffer,2023,June,167,5.421317365269461,905.3599999999996
Buffer,2023,July,312,9.789070512820512,3054.190000000001
Buffer,2023,August,2456,8.736649022801302,21457.21000000001
Buffer,2023,September,4456,7.467223967684021,33273.949999999975
Buffer,2023,October,3033,7.9837223870755025,24214.63000000001
Buffer,2023,November,510,7.183666666666667,3663.67
Buffer,2023,December,62,6.188870967741936,383.7100000000002
Buffer,2024,January,20,5.0865,101.72999999999999
Buffer,2024,February,86,4.921627906976744,423.25999999999993
Buffer,2024,March,42,4.809523809523809,201.99999999999994
Buffer,2024,April,18,3.7222222222222223,67
Buffer,2024,May,100,6.0602,606.0199999999996
Buffer,2024,June,196,5.635918367346939,1104.6400000000006
Buffer,2024,July,646,8.6978173374613,5618.790000000003
