region,year,month,n_fires,mean_frp,sum_frp
Buffer,2025,January,56,9.054821428571428,507.07
Buffer,2025,February,6,3.546666666666667,21.28
Buffer,2025,March,12,3.4899999999999998,41.879999999999995
Buffer,2025,April,13,3.5907692307692307,46.68
Buffer,2025,May,14,3.992142857142857,55.89
Buffer,2025,June,54,6.340925925925926,342.40999999999997
Buffer,2025,July,175,6.493142857142857,1136.3
Buffer,2025,August,2527,9.57801741195093,24203.65
Buffer,2025,September,3601,9.038947514579284,32549.25
Buffer,2025,October,2765,8.926249547920435,24681.08
Buffer,2025,November,266,7.179661654135338,1909.79
Buffer,2025,December,2,6.7749999999999995,13.549999999999999
GNP,2025,January,6,7.291666666666666,43.75
GNP,2025,February,1,5.19,5.19
GNP,2025,March,1,5.26,5.26
GNP,2025,April,1,2.07,2.07
GNP,2025,May,7,4.548571428571429,31.84
GNP,2025,June,4,3.4575,13.83
GNP,2025,July,14,5.617857142857143,78.65
GNP,2025,August,384,7.436770833333333,2855.72
GNP,2025,September,722,7.753130193905817,5597.76
GNP,2025,October,419,8.78398568019093,3680.49
GNP,2025,November,24,6.50375,156.09
GNP,2025,December,0,NA,0
GNP_and_Mountain,2025,January,7,7.3185714285714285,51.23
GNP_and_Mountain,2025,February,1,5.19,5.19
GNP_and_Mountain,2025,March,4,7.34,29.36
GNP_and_Mountain,2025,April,2,2.235,4.47
GNP_and_Mountain,2025,May,9,4.306666666666667,38.76
GNP_and_Mountain,2025,June,9,3.7344444444444447,33.61
GNP_and_Mountain,2025,July,22,6.261363636363637,137.75
GNP_and_Mountain,2025,August,460,7.421565217391304,3413.92
GNP_and_Mountain,2025,September,1311,8.316338672768879,10902.72
GNP_and_Mountain,2025,October,564,9.222517730496454,5201.5
GNP_and_Mountain,2025,November,27,7.228518518518518,195.17
GNP_and_Mountain,2025,December,0,NA,0
Mountain,2025,January,1,7.48,7.48
Mountain,2025,February,0,NA,0
Mountain,2025,March,3,8.033333333333333,24.1
Mountain,2025,April,1,2.4,2.4
Mountain,2025,May,2,3.46,6.92
Mountain,2025,June,5,3.956,19.78
Mountain,2025,July,8,7.3875,59.1
Mountain,2025,August,76,7.344736842105263,558.2
Mountain,2025,September,589,9.006723259762309,5304.96
Mountain,2025,October,145,10.489724137931034,1521.01
Mountain,2025,November,3,13.026666666666666,39.08
Mountain,2025,December,0,NA,0
Total,2025,January,63,8.861904761904762,558.3
Total,2025,February,7,3.7814285714285716,26.470000000000002
Total,2025,March,16,4.4525,71.24
Total,2025,April,15,3.41,51.15
Total,2025,May,23,4.1152173913043475,94.65
Total,2025,June,63,5.968571428571429,376.02
Total,2025,July,197,6.467258883248731,1274.05
Total,2025,August,2987,9.245922330097088,27617.57
Total,2025,September,4912,8.84608509771987,43451.97
Total,2025,October,3329,8.976443376389305,29882.58
Total,2025,November,293,7.184163822525598,2104.96
Total,2025,December,2,6.7749999999999995,13.549999999999999
