region,year,quarter,n_fires,mean_frp,sum_frp
GNP,2017,2017-Q1,0,NA,0
GNP,2017,2017-Q2,72,8.447916666666666,608.25
GNP,2017,2017-Q3,2362,9.091917866215072,21475.11
GNP,2017,2017-Q4,1180,9.636771186440678,11371.39
GNP,2018,2018-Q1,2,3.83,7.66
GNP,2018,2018-Q2,46,6.045217391304348,278.08
GNP,2018,2018-Q3,3288,8.438661800486617,27746.32
GNP,2018,2018-Q4,1058,8.736899810964083,9243.64
GNP,2019,2019-Q1,3,3.86,11.58
GNP,2019,2019-Q2,11,4.3945454545454545,48.339999999999996
GNP,2019,2019-Q3,2653,8.821748963437617,23404.1
GNP,2019,2019-Q4,1676,8.083221957040573,13547.48
GNP,2020,2020-Q1,5,4.712,23.560000000000002
GNP,2020,2020-Q2,115,24.964782608695653,2870.95
GNP,2020,2020-Q3,1703,8.780311215502055,14952.87
GNP,2020,2020-Q4,1029,8.427521865889213,8671.92
GNP,2021,2021-Q1,1,5.64,5.64
GNP,2021,2021-Q2,27,4.619259259259259,124.72
GNP,2021,2021-Q3,1043,9.799290508149568,10220.66
GNP,2021,2021-Q4,1481,7.8177177582714386,11578.04
GNP,2022,2022-Q1,1,7.21,7.21
GNP,2022,2022-Q2,24,3.8725,92.94
GNP,2022,2022-Q3,1018,8.39205304518664,8543.11
GNP,2022,2022-Q4,946,8.2788266384778,7831.77
GNP,2023,2023-Q1,2,0.525,1.05
GNP,2023,2023-Q2,39,5.478717948717948,213.67
GNP,2023,2023-Q3,1629,7.385046040515654,12030.24
GNP,2023,2023-Q4,792,7.257714646464646,5748.11
GNP,2024,2024-Q1,4,3.1425,12.57
GNP,2024,2024-Q2,16,6.328125,101.25
GNP,2024,2024-Q3,1505,9.395368770764119,14140.03
GNP,2024,2024-Q4,331,9.785800604229607,3239.1
Mountain,2017,2017-Q1,0,NA,0
Mountain,2017,2017-Q2,7,4.551428571428572,31.86
Mountain,2017,2017-Q3,368,10.172581521739131,3743.5099999999998
Mountain,2017,2017-Q4,484,9.528326446280992,4611.71
Mountain,2018,2018-Q1,2,3.94,7.88
Mountain,2018,2018-Q2,13,5.43,70.59
Mountain,2018,2018-Q3,759,8.386073781291172,6365.03
Mountain,2018,2018-Q4,58,8.81948275862069,511.53000000000003
Mountain,2019,2019-Q1,1,5.25,5.25
Mountain,2019,2019-Q2,15,3.3706666666666667,50.56
Mountain,2019,2019-Q3,621,10.08011272141707,6259.75
Mountain,2019,2019-Q4,340,5.889411764705883,2002.4
Mountain,2020,2020-Q1,3,5.02,15.059999999999999
Mountain,2020,2020-Q2,6,4.6466666666666665,27.88
Mountain,2020,2020-Q3,408,11.074289215686274,4518.31
Mountain,2020,2020-Q4,257,8.883929961089494,2283.17
Mountain,2021,2021-Q1,2,5.17,10.34
Mountain,2021,2021-Q2,26,7.007307692307692,182.19
Mountain,2021,2021-Q3,277,7.637653429602888,2115.63
Mountain,2021,2021-Q4,329,7.999331306990881,2631.78
Mountain,2022,2022-Q1,6,5.508333333333333,33.05
Mountain,2022,2022-Q2,7,3.111428571428571,21.78
Mountain,2022,2022-Q3,481,7.821600831600832,3762.19
Mountain,2022,2022-Q4,523,7.454875717017209,3898.9
Mountain,2023,2023-Q1,0,NA,0
Mountain,2023,2023-Q2,71,4.859577464788733,345.03
Mountain,2023,2023-Q3,397,8.15418136020151,3237.21
