region,year,quarter,n_fires,mean_frp,sum_frp
GNP,2025,2025-Q1,8,6.7749999999999995,54.199999999999996
GNP,2025,2025-Q2,12,3.9783333333333335,47.74
GNP,2025,2025-Q3,1120,7.617973214285715,8532.13
GNP,2025,2025-Q4,443,8.660451467268622,3836.58
Mountain,2025,2025-Q1,4,7.8950000000000005,31.580000000000002
Mountain,2025,2025-Q2,8,3.6375,29.1
Mountain,2025,2025-Q3,673,8.799791976225855,5922.26
Mountain,2025,2025-Q4,148,10.54114864864865,1560.09
GNP_and_Mountain,2025,2025-Q1,12,7.148333333333333,85.78
GNP_and_Mountain,2025,2025-Q2,20,3.842,76.84
GNP_and_Mountain,2025,2025-Q3,1793,8.061567205800335,14454.39
GNP_and_Mountain,2025,2025-Q4,591,9.131421319796955,5396.67
Buffer,2025,2025-Q1,74,7.705810810810811,570.23
Buffer,2025,2025-Q2,81,5.49358024691358,444.98
Buffer,2025,2025-Q3,6303,9.184388386482627,57889.2
Buffer,2025,2025-Q4,3033,8.771651829871415,26604.42
Total,2025,2025-Q1,86,7.628023255813954,656.01
Total,2025,2025-Q2,101,5.166534653465346,521.82
Total,2025,2025-Q3,8096,8.935720108695651,72343.59
Total,2025,2025-Q4,3624,8.830322847682119,32001.09
