region,year,n_fires,mean_frp,sum_frp
GNP,2017,3614,9.256986718317654,33454.75
GNP,2018,4394,8.483318161128812,37275.7
GNP,2019,4343,8.522104536034998,37011.5
GNP,2020,2852,9.298492286115007,26519.3
GNP,2021,2552,8.592891849529781,21929.06
GNP,2022,1989,8.283071895424836,16475.03
GNP,2023,2462,7.308314378554021,17993.07
GNP,2024,1856,9.425080818965517,17492.95
Mountain,2017,859,9.763771827706636,8387.08
Mountain,2018,832,8.359411057692308,6955.03
Mountain,2019,977,8.513776867963152,8317.96
Mountain,2020,674,10.15492581602374,6844.42
Mountain,2021,634,7.791703470031545,4939.94
Mountain,2022,1017,7.586941986234022,7715.92
Mountain,2023,656,7.349070121951219,4820.99
Mountain,2024,1056,10.379583333333333,10960.84
GNP_and_Mountain,2017,4473,9.354310306282137,41841.83
GNP_and_Mountain,2018,5226,8.46359165709912,44230.73
GNP_and_Mountain,2019,5320,8.520575187969925,45329.46
GNP_and_Mountain,2020,3526,9.462200794100964,33363.72
GNP_and_Mountain,2021,3186,8.433458882611426,26869
GNP_and_Mountain,2022,3006,8.04755489021956,24190.95
GNP_and_Mountain,2023,3118,7.316889031430404,22814.06
GNP_and_Mountain,2024,2912,9.771219093406593,28453.79
Buffer,2017,9419,8.745137488056058,82370.45
Buffer,2018,9637,9.000009339005915,86733.09
Buffer,2019,11395,8.754523913997367,99757.8
Buffer,2020,10250,9.224946341463415,94555.7
Buffer,2021,10893,8.957281740567337,97571.67
Buffer,2022,8929,9.394685855078956,83885.15
Buffer,2023,11092,7.8723927154706095,87320.58
Buffer,2024,8226,8.530779236566982,70174.19
Total,2017,13892,8.941281312985891,124212.28
Total,2018,14863,8.811398775482742,130963.82
Total,2019,16715,8.68006341609333,145087.26
Total,2020,13776,9.285672183507549,127919.42
Total,2021,14079,8.838743518715818,124440.67
Total,2022,11935,9.055391705069125,108076.1
Total,2023,14210,7.750502463054187,110134.64
Total,2024,11138,8.855088884898546,98627.98
